combined_id,food_group,fermented_binary,genus_Streptococcus,genus_Acetobacter,phylum_Firmicutes,genus_Photobacterium,div_richness,genus_Gluconobacter,genus_Brochothrix,phylum_Pseudomonadota,genus_Latilactobacillus,genus_Psychrobacter,genus_Pantoea,div_shannon,genus_Pseudoalteromonas,country_ITA,genus_Levilactobacillus,genus_Liquorilactobacillus,genus_Lactococcus,genus_Lactobacillus,phylum_Ascomycota,genus_Enterobacter,genus_Saccharomyces,genus_Lentilactobacillus,genus_Lactiplantibacillus,genus_Lacticaseibacillus,genus_Leuconostoc,genus_Paucilactobacillus,genus_Pseudomonas,genus_Pediococcus,genus_Limosilactobacillus,phylum_Bacteroidota,genus_Staphylococcus,genus_Acinetobacter,genus_Weissella,genus_Pichia,genus_Bacillus,genus_Debaryomyces,genus_Vibrio,country_Other,phylum_Actinomycetota,country_USA,genus_Bifidobacterium,genus_Vagococcus,genus_Enterococcus,genus_Klebsiella,genus_Carnobacterium,genus_Flavobacterium,genus_Chryseobacterium,genus_Brevibacterium,country_ESP,genus_Macrococcoides,genus_Rahnella,country_IRL,genus_Serratia,genus_Rothia,genus_Escherichia,genus_Microbacterium,genus_Oenococcus,genus_Kocuria,genus_Corynebacterium,genus_Hafnia,genus_Citrobacter,genus_Brachybacterium,genus_Arthrobacter,genus_Raoultella,phylum_Deinococcota,genus_Moraxella,genus_Cutibacterium,genus_Companilactobacillus,genus_Glutamicibacter,genus_Mammaliicoccus,genus_Epilithonimonas,genus_Kluyvera,genus_Penicillium,genus_Loigolactobacillus,genus_Marinilactibacillus,country_AUT,genus_Halomonas,genus_Aeromonas,genus_Schleiferilactobacillus,genus_Tetragenococcus
SequinoG_2024_b__SRR27278160,Meat,0,0.0,0.0,55.23669,6.50309,41.0,0.0,14.38172,44.70647,2.00765,6.656669999999999,0.0,2.4981773611504785,0.01956,0.0,0.0,0.0,5.7219500000000005,0.0,0.05681,0.0,0.0,0.0,0.0,0.0,21.31201,0.0,29.773090000000003,0.0,0.0,0.0,0.04779,1.69881,0.0,0.0,0.0,0.05681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278161,Meat,0,0.0,0.0,36.25224,0.35058999999999996,61.0,0.0,11.92617,61.96947,5.32048,0.02533,0.0,2.5187425664038763,0.0,0.0,0.0,0.0,3.65577,0.0,0.01378,0.0,0.0,0.0,0.0,0.0,10.64162,0.0,58.1973,0.0,0.0,1.76453,0.02201,0.01326,0.17837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62734,0.0,0.0,0.0,0.0,0.0,0.02666,0.0,0.76874,0.0,0.0,0.0,0.0,0.0,0.0,0.11544000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29451,0.0,0.0,0.0,0.0,0.0,1.71053,0.0,0.0
SequinoG_2024_b__SRR27278162,Meat,0,0.0,0.0,9.259549999999999,0.0,46.0,0.0,7.30371,90.52345,0.0,0.61146,0.0,2.739777031905457,0.0,0.0,0.0,0.0,0.0178,0.0,0.13585,0.0,0.0,0.0,0.0,0.0,0.55885,0.0,62.76014,0.0,0.0,0.07396,1.01531,0.16188,0.0,0.0,0.0,0.11628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25294,0.0,0.0,0.0,0.0,0.0,0.0,0.07326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.21206,0.0,0.0
SequinoG_2024_b__SRR27278163,Meat,0,0.0,0.0,97.63351,0.1703,49.0,0.0,0.11565,2.30942,44.97838,0.00415,0.0,1.9590912030096912,0.0,0.0,0.00231,0.0,27.210259999999998,0.0,0.0,0.0,0.0,0.0,0.02856,0.0,21.69078,0.0,1.3702,0.01682,0.0,0.05706,0.0,0.0,0.79995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00069,0.0,0.6365799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013040000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.67851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00751,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278164,Meat,0,0.0,0.0,95.03035,3.26033,27.0,0.0,0.83955,4.96964,9.305,0.33976,0.0,2.0901165747834582,0.0,0.0,0.0,0.0,31.731640000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.808009999999996,0.0,1.27302,0.0,0.0,0.0,0.0,0.03907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278165,Meat,0,0.0,0.0,83.73146,14.143870000000001,33.0,0.0,1.4767,16.26855,2.82507,0.42078,0.0,2.219927070676993,0.0,0.0,0.0,0.0,27.75138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.264939999999996,0.0,1.6050499999999999,0.0,0.0,0.0,0.0,0.0834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2457900000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278166,Meat,0,0.0,0.0,96.29112,0.32571,62.0,0.0,0.91809,3.70562,28.889200000000002,0.02037,0.0,2.248741842386256,0.0,0.0,0.0,0.0,31.3571,0.0,0.00274,0.0,0.0,0.0,0.00355,0.0,29.116120000000002,0.0,0.8780199999999999,0.00706,0.0,0.00049,0.00798,0.00123,0.59701,0.0,0.0,0.0,0.03734,0.0,0.0,0.0,0.0,0.10592,0.0,0.00075,3.49073,0.0,0.0,0.0,0.0,0.0,0.00861,0.0,0.06356,0.0,0.0,0.0,0.0,0.0,0.0,1.15503,0.0,0.0,0.0,0.00126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278167,Meat,0,0.0,0.0,83.07009,13.101140000000001,31.0,0.0,3.16623,16.9299,3.52881,0.62436,0.0,2.2208373890348097,0.0,0.0,0.0,0.0,8.55035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.66688,0.0,3.01651,0.0,0.0,0.0,0.0,0.13404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278168,Meat,0,0.0,0.0,98.43202000000001,1.0177100000000001,51.0,0.0,0.63658,1.56099,24.93183,0.00872,0.0,1.906452816734768,0.0,0.0,0.0,0.0,43.04027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.60719,0.0,0.30519999999999997,0.0,0.0,0.00698,0.01636,0.0,0.66306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22117,0.0,0.0,2.0408,0.0,0.0,0.0,0.0,0.0,0.00298,0.0,0.06603,0.0,0.0,0.0,0.0,0.0,0.0,0.10849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02997,0.0,0.00014,0.0,0.0,0.0,0.0,0.0,0.0
SequinoG_2024_b__SRR27278177,Meat,0,0.0,0.0,91.03643,6.78635,39.0,0.0,5.7482,8.90397,0.95742,0.33785,0.0,1.7368768224468198,0.0,0.0,0.0,0.0,0.45544,0.0,0.05957,0.0,0.0,0.0,0.0,0.0,59.388980000000004,0.0,1.75383,0.0,0.0,0.0,0.03793,0.02594,0.0,0.0,0.0,0.00588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
