food,label,n_eaten,score_diff,pvalue,qvalue,FDR_sig,neg_log10_p
Garlic_cooked,Garlic Cooked,20,0.1603438420142862,0.16483081383452147,0.880452569443505,False,0.7829615970845053
Ice_cream_regular_flavors_other_than_chocolate,Ice Cream Regular Flavors,16,0.1540182210682557,0.10916757131311498,0.880452569443505,False,0.9619063514788893
Carbonated_water_unsweetened,Carbonated Water Unsweetened,22,0.13991999517544773,0.14206968555377372,0.880452569443505,False,0.8474985807721541
Rice_brown_cooked_fat_not_added_in_cooking,Rice Brown Cooked Fat,15,0.1363361454696153,0.12820865351466507,0.880452569443505,False,0.892082660879329
Kale_cooked_from_fresh_fat_not_added_in_cooking,Kale Cooked From Fresh,15,0.13311521075554944,0.2154655119779877,0.880452569443505,False,0.666622234349166
Wine_table_white,Wine Table White,15,0.13219916241215354,0.1976137190623446,0.880452569443505,False,0.7041829084009644
Almond_butter,Almond Butter,18,0.12116216204957003,0.21180746218748792,0.880452569443505,False,0.6740587433325933
Orange_juice_canned_bottled_or_in_a_carton,Orange Juice Canned Bottled,20,0.11588660340976178,0.07861159479620386,0.880452569443505,False,1.1045133930874003
Nut_mixture_with_dried_fruit_and_seeds,Nut Mixture With Dried,16,0.10839296109587311,0.3671588536909254,0.880452569443505,False,0.43514599472634924
Oats_raw,Oats Raw,15,0.10407791881116107,0.3107259260150258,0.880452569443505,False,0.5076225090381691
Onions_mature_raw,Onions Mature Raw,44,0.10224771472571724,0.18172994960570066,0.880452569443505,False,0.7405734938441876
Cheese_NFS,Cheese,30,0.09362251804086237,0.3291986785349962,0.880452569443505,False,0.4825419167954636
Peanut_butter,Peanut Butter,41,0.08466979001575234,0.1944258084867143,0.880452569443505,False,0.711246086429216
Date,Date,16,0.08213637347024479,0.2953755980759648,0.880452569443505,False,0.5296253860000204
Sugar_white_granulated_or_lump,Sugar White Granulated Or,27,0.0811173661102955,0.26738786549053895,0.880452569443505,False,0.5728583056382728
Coffee_made_from_ground_regular,Coffee Made From Ground,188,0.0735813827438143,0.1624448703497664,0.880452569443505,False,0.7892939981630387
Walnuts,Walnuts,17,0.07121199384256274,0.09544168238657835,0.880452569443505,False,1.0202619137973998
Milk_cows_fluid_2_fat,Milk Cows Fluid 2,33,0.0709162103286158,0.529814757259612,0.9405831919098863,False,0.27587594919628156
Avocado_raw,Avocado Raw,43,0.0696842294336373,0.2974225942254527,0.880452569443505,False,0.526626042624038
Chicken_breast_roasted_broiled_or_baked_skin_not_eaten,Chicken Breast Roasted Broiled,27,0.06842376841476235,0.14909903597354007,0.880452569443505,False,0.8265251645465055
Wine_table_red,Wine Table Red,22,0.06457821908407464,0.6474144048210906,0.9405831919098863,False,0.1888176418739533
Apple_raw,Apple Raw,51,0.05757464927355696,0.3529030867739201,0.880452569443505,False,0.45234454293496557
Bread_multigrain,Bread Multigrain,17,0.056228941879946134,0.5549933360500994,0.9405831919098863,False,0.25571223153326006
Peanuts_roasted_without_salt,Peanuts Roasted Without Salt,15,0.051472302608735476,0.3887029279820624,0.880452569443505,False,0.4103821879469083
Tangerine_raw,Tangerine Raw,37,0.050160633900586525,0.741380853753274,0.9721618537632851,False,0.12995863386711154
Tomatoes_raw,Tomatoes Raw,74,0.0494682889871573,0.24089920536873421,0.880452569443505,False,0.6181646325651396
White_potato_chips_regular_cut,White Potato Chips Regular,21,0.04536483943107614,0.47733795948428825,0.9405831919098863,False,0.3211740277350538
Endive_chicory_escarole_or_romaine_lettuce_raw,Endive Chicory Escarole Or,22,0.043945394114607704,0.6148222952486656,0.9405831919098863,False,0.2112503921028317
Blueberries_raw,Blueberries Raw,35,0.04287379163194444,0.3940883499646024,0.880452569443505,False,0.4044064035532539
Chocolate_sweet_or_dark,Chocolate Sweet Or Dark,67,0.0424342495408803,0.4002057133834114,0.880452569443505,False,0.3977167156169067
Almonds_unroasted,Almonds Unroasted,20,0.03488350709829024,0.8309916593645179,0.9721618537632851,False,0.08040333519319802
Pepper_sweet_green_raw,Pepper Sweet Green Raw,23,0.03142572348639352,0.7186106863619715,0.9721618537632851,False,0.14350632874905983
Brussels_sprouts_cooked_from_fresh_fat_added_in_cooking,Brussels Sprouts Cooked From,15,0.02946685292635443,0.9906075199232552,0.9906075199232552,False,0.004098379514497405
Tea_herbal,Tea Herbal,39,0.029194145133434653,0.628278340185469,0.9405831919098863,False,0.20184791227208562
Mustard,Mustard,21,0.024766162834201407,0.8979229682947496,0.9721618537632851,False,0.04676091932321746
Cheese_Cheddar,Cheese Cheddar,80,0.020534088654780753,0.89406341557187,0.9721618537632851,False,0.048631675772125536
Cheese_Parmesan_hard,Cheese Parmesan Hard,21,0.017396621077698116,0.7932067136994487,0.9721618537632851,False,0.10061361858387516
Milk_almond_ready_to_drink,Milk Almond Ready To,33,0.015092720971317407,0.7835418405693109,0.9721618537632851,False,0.10593780756399325
Italian_dressing_made_with_vinegar_and_oil,Italian Dressing Made With,29,0.014545687370150755,0.6438861964762803,0.9405831919098863,False,0.19119088513996074
Butter_stick_salted,Butter Stick Salted,26,0.014304678097745422,0.9235396988112687,0.9741446138146259,False,0.03454443145913675
Tomato_catsup,Tomato Catsup,25,0.012181219502969893,0.6981523870177127,0.9721618537632851,False,0.1560497727669919
Salty_snacks_corn_or_cornmeal_base_tortilla_chips,Salty Snacks Corn Or,38,0.004548358457861727,0.8135075535297933,0.9721618537632851,False,0.08963841022426028
Water_bottled_unsweetened,Water Bottled Unsweetened,58,0.004401938462372898,0.7221371341203382,0.9721618537632851,False,0.14138032190892644
Egg_whole_boiled_or_poached,Egg Whole Boiled Or,30,-0.00030774255608353123,0.7612867160235012,0.9721618537632851,False,0.11845174830733855
Pumpkin_andor_squash_seeds_hulled_roasted_without_salt,Pumpkin Andor Squash Seeds,17,-0.0030770481926820515,0.6246704764245791,0.9405831919098863,False,0.2043490194723961
Water_tap,Water Tap,262,-0.0038812255290461397,0.7745918739799179,0.9721618537632851,False,0.11092706338426699
Egg_whole_fried_with_oil,Egg Whole Fried With,28,-0.007106194386395126,0.9090344606617731,0.9721618537632851,False,0.04141965276090152
Banana_raw,Banana Raw,82,-0.007795257811132656,0.8545397159561734,0.9721618537632851,False,0.06826774801664297
Egg_omelet_or_scrambled_egg_made_with_oil,Egg Omelet Or Scrambled,15,-0.008692248928630372,0.4906244330776397,0.9405831919098863,False,0.3092508277428149
Lettuce_arugula_raw,Lettuce Arugula Raw,21,-0.009868440139111275,0.9032218098601067,0.9721618537632851,False,0.04420558416154655
Milk_cows_fluid_skim_or_nonfat_0_5_or_less_butterfat,Milk Cows Fluid Skim,25,-0.010107518127597496,0.5934179241580134,0.9405831919098863,False,0.2266393399784731
Lemon_juice_freshly_squeezed,Lemon Juice Freshly Squeezed,22,-0.01147273423050692,0.9001058754497974,0.9721618537632851,False,0.0457064034281946
Carrots_raw,Carrots Raw,52,-0.019301870660646918,0.9637534108865639,0.9906075199232552,False,0.016034071896533445
Olive_oil,Olive Oil,24,-0.020794848520332667,0.8249459742005545,0.9721618537632851,False,0.08357449251051552
Milk_cows_fluid_whole,Milk Cows Fluid Whole,38,-0.023565811020991267,0.8320620529157425,0.9721618537632851,False,0.07984428400498797
Spinach_raw,Spinach Raw,29,-0.023612295797989968,0.9823646067226948,0.9906075199232552,False,0.00772729296789832
Bagel,Bagel,18,-0.025087934545475803,0.6305356640172978,0.9405831919098863,False,0.20029034406651364
Onions_mature_cooked_or_sauteed_from_fresh_fat_added_in_cooking_W_VEGETABLE_OIL_NFS_INCLUDE_OIL_NFS_,Onions Mature Cooked Or,22,-0.02519847927821415,0.9764883911640413,0.9906075199232552,False,0.010332915390327055
Cucumber_raw,Cucumber Raw,43,-0.02745437120991663,0.5422814998490122,0.9405831919098863,False,0.2657752114423564
